crop_name,initial_stage_days,development_stage_days,mid_season_stage_days,late_season_stage_days,total_growth_days,kc_ini,kc_mid,kc_end,root_depth_min_m,root_depth_max_m
Rice,30,30,40,20,120,1.05,1.20,0.90,0.20,0.60
Wheat,20,30,40,30,120,0.40,1.15,0.25,0.30,1.50
Maize,20,35,40,30,125,0.30,1.20,0.60,0.30,1.70
Cotton,30,50,60,40,180,0.35,1.20,0.60,0.40,1.70
Sugarcane,35,60,180,90,365,0.40,1.25,0.75,0.50,2.00
Chickpea,20,30,40,20,110,0.40,1.15,0.35,0.30,1.00
Groundnut,25,35,45,25,130,0.40,1.15,0.60,0.30,1.00
Soybean,20,30,40,25,115,0.40,1.15,0.50,0.30,1.30
Tomato,30,40,45,30,145,0.60,1.15,0.80,0.25,1.00
Potato,25,30,45,30,130,0.50,1.15,0.75,0.30,0.70
Onion,20,35,45,40,140,0.70,1.05,0.75,0.20,0.50
Banana,120,90,120,90,420,0.50,1.10,1.00,0.50,0.90
Turmeric,40,60,90,50,240,0.50,1.15,0.80,0.30,0.70
Mustard,20,35,40,25,120,0.35,1.15,0.35,0.30,1.10
Sorghum,20,35,40,30,125,0.30,1.15,0.55,0.30,2.00
Pearl Millet,15,25,35,25,100,0.30,1.10,0.50,0.30,1.50
Pigeon Pea,30,45,65,40,180,0.40,1.15,0.45,0.40,1.50
Green Gram,15,20,30,15,80,0.40,1.05,0.35,0.30,0.80
Black Gram,15,20,30,15,80,0.40,1.05,0.35,0.30,0.80
Coconut,60,90,150,65,365,0.80,1.00,0.90,0.80,2.00
Sunflower,20,35,45,25,125,0.35,1.15,0.35,0.30,1.50
Chili,25,35,50,40,150,0.60,1.15,0.80,0.30,1.00
Garlic,25,35,50,40,150,0.60,1.05,0.70,0.20,0.50
Cabbage,25,35,50,30,140,0.70,1.05,0.95,0.30,0.60
Cauliflower,20,30,40,25,115,0.70,1.05,0.95,0.30,0.60
